
January 20, 2012; Los Angeles Times; 100 words; Campaigns/Elections/Politics
January 6, 2012; Washington Post; 1136 words; Campaigns/Elections/Politics
April 2, 2012; Traverse City Record; 1137 words; Health/Medicine
March 14, 2012; New York Times; 1138 words; Environment
January 12, 2012; New York Times; 1139 words; Education
April 3, 2012; Washington Post; 1139 words; Additional Domestic Affairs
May 21, 2012; New York Times; 1140 words; Economy/Economics
February 26, 2012; Orlando Sentinel; 1140 words; Government Agencies/Legislatures
March 21, 2012; Traverse City Record; 1140 words; Additional Domestic Affairs
March 8, 2012; Los Angeles Times; 1141 words; Campaigns/Elections/Politics
May 17, 2012; Los Angeles Times; 1141 words; Environment
January 26, 2012; New York Times; 1142 words; Race/Gender/Gay Issues
January 25, 2012; Wall Street Journal; 1142 words; Business
February 1, 2012; Washington Post; 1143 words; Campaigns/Elections/Politics
January 4, 2012; New York Times; 1144 words; Transportation
May 17, 2012; New York Times; 1144 words; Business
April 27, 2012; Los Angeles Times; 1144 words; Business
January 10, 2012; New York Times; 1145 words; Transportation
May 17, 2012; Denver Post; 1145 words; Lifestyle
February 21, 2012; Los Angeles Times; 1147 words; Economy/Economics
March 16, 2012; Washington Post; 1149 words; Government Agencies/Legislatures
February 15, 2012; Los Angeles Times; 1149 words; Economy/Economics
February 9, 2012; New York Times; 1150 words; Government Agencies/Legislatures
January 26, 2012; New York Times; 1151 words; Economy/Economics
January 2, 2012; Los Angeles Times; 1151 words; Disasters/Accidents
January 24, 2012; Los Angeles Times; 1151 words; U.S. Foreign Affairs
January 20, 2012; Washington Post; 1153 words; Business
February 21, 2012; Washington Post; 1153 words; Foreign (non-U.S.)
February 15, 2012; Los Angeles Times; 1153 words; Foreign (non-U.S.)
February 9, 2012; New York Times; 1155 words; U.S. Foreign Affairs
April 8, 2012; New York Times; 1155 words; Science and Technology
February 29, 2012; Los Angeles Times; 1155 words; Crime
February 17, 2012; New York Times; 1156 words; Economy/Economics
April 8, 2012; New York Times; 1156 words; Foreign (non-U.S.)
May 21, 2012; Denver Post; 1156 words; Campaigns/Elections/Politics
January 2, 2012; New York Times; 1158 words; Campaigns/Elections/Politics
February 1, 2012; New York Times; 1158 words; Health/Medicine
February 16, 2012; Wall Street Journal; 1158 words; U.S. Foreign Affairs
January 9, 2012; Houston Chronicle; 1158 words; Government Agencies/Legislatures
January 29, 2012; New York Times; 1161 words; Foreign (non-U.S.)
February 17, 2012; New York Times; 1161 words; Media
May 17, 2012; New York Times; 1161 words; Lifestyle
May 15, 2012; New York Times; 1163 words; Business
May 17, 2012; New York Times; 1163 words; Health/Medicine
May 31, 2012; New York Times; 1163 words; U.S. Foreign Affairs
March 2, 2012; New York Times; 1164 words; Health/Medicine
May 9, 2012; New York Times; 1164 words; Race/Gender/Gay Issues
March 30, 2012; Los Angeles Times; 1164 words; Economy/Economics
April 2, 2012; Wall Street Journal; 1165 words; Immigration
January 12, 2012; Denver Post; 1165 words; Religion
March 30, 2012; New York Times; 1166 words; Court/Legal System
February 14, 2012; Wall Street Journal; 1166 words; Government Agencies/Legislatures
March 16, 2012; Washington Post; 1167 words; Economy/Economics
February 3, 2012; Washington Post; 1169 words; U.S. Foreign Affairs
January 12, 2012; Los Angeles Times; 1169 words; U.S. Foreign Affairs
January 26, 2012; Los Angeles Times; 1170 words; Defense/Military (Domestic)
February 15, 2012; Los Angeles Times; 1170 words; Business
April 11, 2012; Los Angeles Times; 1170 words; Foreign (non-U.S.)
March 22, 2012; New York Times; 1171 words; Sports
January 3, 2012; Houston Chronicle; 1171 words; Health/Medicine
April 10, 2012; Wall Street Journal; 1172 words; Foreign (non-U.S.)
May 29, 2012; Denver Post; 1172 words; Defense/Military (Domestic)
January 2, 2012; Los Angeles Times; 1173 words; Foreign (non-U.S.)
April 23, 2012; Los Angeles Times; 1173 words; Foreign (non-U.S.)
March 12, 2012; Washington Post; 1174 words; U.S. Foreign Affairs
May 13, 2012; Eagle Tribune (MA); 1174 words; Immigration
March 8, 2012; New York Times; 1175 words; Campaigns/Elections/Politics
March 30, 2012; New York Times; 1175 words; Education
January 8, 2012; Los Angeles Times; 1175 words; Campaigns/Elections/Politics
January 29, 2012; New York Times; 1176 words; Foreign (non-U.S.)
May 29, 2012; New York Times; 1176 words; Economy/Economics
May 25, 2012; Los Angeles Times; 1176 words; Foreign (non-U.S.)
February 21, 2012; Daily Herald (Everett, WA); 1176 words; Disasters/Accidents
February 6, 2012; Daily Herald (Everett, WA); 1177 words; Crime
May 15, 2012; Los Angeles Times; 1178 words; Government Agencies/Legislatures
February 7, 2012; Denver Post; 1178 words; U.S. Foreign Affairs
April 11, 2012; New York Times; 1179 words; Business
April 13, 2012; Los Angeles Times; 1180 words; U.S. Foreign Affairs
January 29, 2012; Eagle Tribune (MA); 1180 words; Government Agencies/Legislatures
February 10, 2012; Wall Street Journal; 1181 words; Foreign (non-U.S.)
May 31, 2012; Eagle Tribune (MA); 1181 words; Crime
April 1, 2012; Los Angeles Times; 1182 words; Additional Domestic Affairs
March 30, 2012; Washington Post; 1184 words; Health/Medicine
April 3, 2012; Washington Post; 1184 words; Domestic Terrorism
April 25, 2012; Washington Post; 1184 words; Foreign (non-U.S.)
February 12, 2012; New York Times; 1185 words; Government Agencies/Legislatures
February 21, 2012; New York Times; 1185 words; Campaigns/Elections/Politics
March 14, 2012; New York Times; 1185 words; Business
April 19, 2012; New York Times; 1185 words; Business
January 18, 2012; New York Times; 1186 words; Campaigns/Elections/Politics
May 20, 2012; New York Times; 1186 words; Economy/Economics
March 20, 2012; Washington Post; 1187 words; U.S. Foreign Affairs
March 28, 2012; New York Times; 1189 words; Education
April 5, 2012; New York Times; 1189 words; Lifestyle
April 22, 2012; New York Times; 1189 words; Business
March 30, 2012; Los Angeles Times; 1190 words; Lifestyle
February 13, 2012; Washington Post; 1191 words; Lifestyle
May 16, 2012; Wall Street Journal; 1191 words; Foreign (non-U.S.)
May 16, 2012; Wall Street Journal; 1192 words; Business
January 6, 2012; Los Angeles Times; 1192 words; Defense/Military (Domestic)
March 12, 2012; Los Angeles Times; 1192 words; Business
May 14, 2012; Houston Chronicle; 1192 words; Business
February 7, 2012; Washington Post; 1194 words; U.S. Foreign Affairs
May 31, 2012; Los Angeles Times; 1194 words; Science and Technology
March 8, 2012; Washington Post; 1195 words; Defense/Military (Domestic)
January 17, 2012; Wall Street Journal; 1195 words; Campaigns/Elections/Politics
March 6, 2012; Los Angeles Times; 1195 words; Media
May 15, 2012; Los Angeles Times; 1195 words; Foreign (non-U.S.)
February 19, 2012; Los Angeles Times; 1196 words; Science and Technology
February 15, 2012; New York Times; 1197 words; Campaigns/Elections/Politics
April 23, 2012; Los Angeles Times; 1197 words; Education
May 31, 2012; New York Times; 1199 words; Health/Medicine
January 10, 2012; Washington Post; 1200 words; U.S. Foreign Affairs
May 11, 2012; Los Angeles Times; 1200 words; Race/Gender/Gay Issues
March 22, 2012; Washington Post; 1201 words; Campaigns/Elections/Politics
January 16, 2012; Denver Post; 1202 words; Government Agencies/Legislatures
March 29, 2012; Wall Street Journal; 1203 words; Health/Medicine
April 3, 2012; New York Times; 1204 words; Campaigns/Elections/Politics
April 27, 2012; New York Times; 1204 words; U.S. Foreign Affairs
January 26, 2012; Denver Post; 1205 words; U.S. Foreign Affairs
April 5, 2012; New York Times; 1206 words; U.S. Foreign Affairs
March 28, 2012; Washington Post; 1207 words; U.S. Foreign Affairs
May 29, 2012; New York Times; 1208 words; Immigration
January 24, 2012; Washington Post; 1208 words; Science and Technology
March 12, 2012; Washington Post; 1208 words; Additional Domestic Affairs
January 26, 2012; Washington Post; 1209 words; U.S. Foreign Affairs
February 3, 2012; Washington Post; 1209 words; U.S. Foreign Affairs
February 17, 2012; Washington Post; 1209 words; Government Agencies/Legislatures
February 12, 2012; New York Times; 1210 words; U.S. Foreign Affairs
March 28, 2012; Washington Post; 1211 words; Court/Legal System
March 20, 2012; New York Times; 1212 words; Foreign (non-U.S.)
January 18, 2012; Washington Post; 1212 words; Foreign (non-U.S.)
January 30, 2012; Washington Post; 1212 words; Foreign (non-U.S.)
April 23, 2012; Washington Post; 1212 words; U.S. Foreign Affairs
January 12, 2012; New York Times; 1213 words; Economy/Economics
May 11, 2012; New York Times; 1213 words; Health/Medicine
April 3, 2012; Los Angeles Times; 1213 words; Foreign (non-U.S.)
February 17, 2012; New York Times; 1214 words; Crime
January 18, 2012; Traverse City Record; 1215 words; Foreign (non-U.S.)
May 29, 2012; New York Times; 1216 words; Media
April 19, 2012; Los Angeles Times; 1216 words; Defense/Military (Domestic)
January 6, 2012; New York Times; 1218 words; Education
May 6, 2012; New York Times; 1218 words; Economy/Economics
May 29, 2012; Los Angeles Times; 1219 words; Business
February 17, 2012; Los Angeles Times; 1220 words; Foreign (non-U.S.)
March 25, 2012; Orlando Sentinel; 1220 words; Education
January 24, 2012; New York Times; 1221 words; Government Agencies/Legislatures
April 6, 2012; Wall Street Journal; 1221 words; Science and Technology
January 18, 2012; New York Times; 1222 words; Government Agencies/Legislatures
March 16, 2012; New York Times; 1222 words; U.S. Foreign Affairs
March 11, 2012; New York Times; 1223 words; Government Agencies/Legislatures
March 12, 2012; Washington Post; 1223 words; Campaigns/Elections/Politics
March 28, 2012; Washington Post; 1224 words; Health/Medicine
May 30, 2012; Wall Street Journal; 1224 words; Economy/Economics
January 20, 2012; Los Angeles Times; 1224 words; Foreign (non-U.S.)
March 26, 2012; New York Times; 1226 words; Foreign (non-U.S.)
February 27, 2012; Los Angeles Times; 1226 words; Lifestyle
February 3, 2012; New York Times; 1229 words; Crime
February 7, 2012; Denver Post; 1229 words; Additional Domestic Affairs
March 16, 2012; Washington Post; 1230 words; U.S. Foreign Affairs
May 1, 2012; Los Angeles Times; 1230 words; U.S. Foreign Affairs
February 9, 2012; New York Times; 1231 words; Economy/Economics
February 23, 2012; Washington Post; 1231 words; Additional Domestic Affairs
February 27, 2012; Washington Post; 1231 words; Lifestyle
March 21, 2012; Wall Street Journal; 1231 words; Business
April 23, 2012; Los Angeles Times; 1232 words; Campaigns/Elections/Politics
March 11, 2012; Denver Post; 1232 words; Campaigns/Elections/Politics
March 26, 2012; Washington Post; 1233 words; Foreign (non-U.S.)
March 25, 2012; New York Times; 1234 words; Health/Medicine
March 11, 2012; New York Times; 1236 words; Business
March 30, 2012; New York Times; 1236 words; Business
January 2, 2012; New York Times; 1237 words; Foreign (non-U.S.)
March 4, 2012; Washington Post; 1237 words; Campaigns/Elections/Politics
April 13, 2012; Los Angeles Times; 1237 words; Business
January 26, 2012; New York Times; 1238 words; U.S. Foreign Affairs
March 2, 2012; Washington Post; 1238 words; U.S. Miscellaneous
March 4, 2012; Washington Post; 1239 words; Foreign (non-U.S.)
March 6, 2012; Los Angeles Times; 1239 words; Campaigns/Elections/Politics
May 23, 2012; New York Times; 1240 words; U.S. Foreign Affairs
April 8, 2012; Denver Post; 1240 words; Government Agencies/Legislatures
February 29, 2012; New York Times; 1241 words; Campaigns/Elections/Politics
March 30, 2012; Washington Post; 1241 words; Foreign (non-U.S.)
January 19, 2012; Wall Street Journal; 1241 words; Business
March 22, 2012; New York Times; 1243 words; Foreign (non-U.S.)
April 16, 2012; Wall Street Journal; 1243 words; Foreign (non-U.S.)
April 24, 2012; Wall Street Journal; 1243 words; Government Agencies/Legislatures
January 22, 2012; Los Angeles Times; 1243 words; Campaigns/Elections/Politics
March 14, 2012; Los Angeles Times; 1243 words; Campaigns/Elections/Politics
March 20, 2012; New York Times; 1245 words; Health/Medicine
February 23, 2012; New York Times; 1246 words; Health/Medicine
April 15, 2012; Houston Chronicle; 1246 words; Foreign (non-U.S.)
February 29, 2012; New York Times; 1248 words; U.S. Foreign Affairs
March 12, 2012; New York Times; 1248 words; Sports
March 14, 2012; New York Times; 1248 words; Campaigns/Elections/Politics
April 25, 2012; New York Times; 1248 words; Science and Technology
January 8, 2012; Eagle Tribune (MA); 1248 words; Campaigns/Elections/Politics
February 13, 2012; New York Times; 1249 words; Foreign (non-U.S.)
February 21, 2012; New York Times; 1249 words; Campaigns/Elections/Politics
February 7, 2012; New York Times; 1250 words; Campaigns/Elections/Politics
April 19, 2012; Los Angeles Times; 1250 words; Foreign (non-U.S.)
January 16, 2012; Washington Post; 1251 words; Foreign (non-U.S.)
February 5, 2012; Traverse City Record; 1252 words; Campaigns/Elections/Politics
January 26, 2012; Los Angeles Times; 1254 words; Government Agencies/Legislatures
April 22, 2012; New York Times; 1255 words; Foreign (non-U.S.)
February 29, 2012; Washington Post; 1255 words; Foreign (non-U.S.)
March 20, 2012; Washington Post; 1256 words; Foreign (non-U.S.)
May 17, 2012; New York Times; 1257 words; Additional Domestic Affairs
January 26, 2012; Washington Post; 1257 words; U.S. Foreign Affairs
May 22, 2012; Wall Street Journal; 1257 words; Economy/Economics
May 29, 2012; Los Angeles Times; 1257 words; Foreign (non-U.S.)
January 30, 2012; Denver Post; 1259 words; U.S. Foreign Affairs
April 13, 2012; Washington Post; 1260 words; Campaigns/Elections/Politics
February 20, 2012; Orlando Sentinel; 1260 words; Campaigns/Elections/Politics
April 3, 2012; New York Times; 1261 words; Crime
January 27, 2012; Wall Street Journal; 1261 words; U.S. Foreign Affairs
May 15, 2012; Los Angeles Times; 1261 words; Health/Medicine
February 5, 2012; Traverse City Record; 1261 words; U.S. Foreign Affairs
April 2, 2012; Traverse City Record; 1261 words; Foreign (non-U.S.)
February 16, 2012; Houston Chronicle; 1262 words; U.S. Foreign Affairs
April 22, 2012; New York Times; 1263 words; Campaigns/Elections/Politics
January 17, 2012; Orlando Sentinel; 1263 words; Campaigns/Elections/Politics
March 2, 2012; New York Times; 1264 words; Education
March 12, 2012; Denver Post; 1264 words; Lifestyle
January 6, 2012; New York Times; 1265 words; Foreign (non-U.S.)
April 11, 2012; Washington Post; 1265 words; Foreign (non-U.S.)
May 23, 2012; Los Angeles Times; 1265 words; Business
February 15, 2012; New York Times; 1266 words; Lifestyle
May 7, 2012; New York Times; 1267 words; Defense/Military (Domestic)
May 9, 2012; New York Times; 1268 words; U.S. Foreign Affairs
February 8, 2012; Wall Street Journal; 1268 words; Race/Gender/Gay Issues
March 1, 2012; Wall Street Journal; 1268 words; Business
February 2, 2012; Traverse City Record; 1268 words; U.S. Foreign Affairs
February 13, 2012; New York Times; 1270 words; U.S. Foreign Affairs
February 21, 2012; Washington Post; 1270 words; Defense/Military (Domestic)
January 20, 2012; New York Times; 1271 words; Health/Medicine
March 30, 2012; New York Times; 1271 words; Business
March 22, 2012; Los Angeles Times; 1271 words; Foreign (non-U.S.)
February 27, 2012; New York Times; 1272 words; Foreign (non-U.S.)
March 22, 2012; New York Times; 1272 words; Court/Legal System
April 3, 2012; New York Times; 1274 words; Economy/Economics
May 15, 2012; New York Times; 1274 words; Foreign (non-U.S.)
March 2, 2012; Washington Post; 1275 words; Foreign (non-U.S.)
January 15, 2012; New York Times; 1276 words; Government Agencies/Legislatures
May 7, 2012; New York Times; 1276 words; Economy/Economics
May 23, 2012; New York Times; 1277 words; Economy/Economics
March 11, 2012; New York Times; 1278 words; Campaigns/Elections/Politics
January 19, 2012; Wall Street Journal; 1278 words; Crime
April 23, 2012; Traverse City Record; 1278 words; Economy/Economics
March 8, 2012; New York Times; 1279 words; Foreign (non-U.S.)
April 13, 2012; New York Times; 1279 words; Health/Medicine
January 6, 2012; Washington Post; 1279 words; Campaigns/Elections/Politics
March 26, 2012; Washington Post; 1280 words; Government Agencies/Legislatures
May 23, 2012; Denver Post; 1280 words; Business
February 15, 2012; New York Times; 1282 words; U.S. Foreign Affairs
March 28, 2012; New York Times; 1283 words; Health/Medicine
May 21, 2012; New York Times; 1283 words; Campaigns/Elections/Politics
January 10, 2012; Washington Post; 1283 words; Transportation
March 7, 2012; Wall Street Journal; 1283 words; Crime
May 6, 2012; New York Times; 1284 words; Science and Technology
April 17, 2012; Los Angeles Times; 1284 words; U.S. Foreign Affairs
April 2, 2012; Wall Street Journal; 1285 words; U.S. Foreign Affairs
March 16, 2012; Los Angeles Times; 1286 words; Defense/Military (Domestic)
January 24, 2012; Washington Post; 1287 words; Domestic Terrorism
January 22, 2012; Los Angeles Times; 1287 words; Economy/Economics
May 31, 2012; New York Times; 1288 words; Foreign (non-U.S.)
April 23, 2012; Washington Post; 1289 words; Lifestyle
April 23, 2012; Washington Post; 1289 words; Foreign (non-U.S.)
January 20, 2012; New York Times; 1290 words; Campaigns/Elections/Politics
January 29, 2012; New York Times; 1291 words; Additional Domestic Affairs
April 17, 2012; New York Times; 1291 words; U.S. Miscellaneous
January 16, 2012; Los Angeles Times; 1291 words; Foreign (non-U.S.)
March 20, 2012; Los Angeles Times; 1291 words; Lifestyle
May 8, 2012; Wall Street Journal; 1293 words; Foreign (non-U.S.)
February 5, 2012; Washington Post; 1294 words; Campaigns/Elections/Politics
March 2, 2012; New York Times; 1295 words; Campaigns/Elections/Politics
March 25, 2012; New York Times; 1295 words; U.S. Foreign Affairs
May 3, 2012; Los Angeles Times; 1295 words; U.S. Foreign Affairs
March 2, 2012; Los Angeles Times; 1296 words; U.S. Foreign Affairs
April 9, 2012; New York Times; 1297 words; Economy/Economics
May 6, 2012; Denver Post; 1297 words; Campaigns/Elections/Politics
February 29, 2012; Washington Post; 1299 words; Additional Domestic Affairs
April 9, 2012; Washington Post; 1299 words; U.S. Foreign Affairs
February 23, 2012; New York Times; 1300 words; Economy/Economics
March 26, 2012; New York Times; 1300 words; Foreign (non-U.S.)
April 6, 2012; USA Today; 1300 words; Religion
January 22, 2012; Daily Herald (Everett, WA); 1300 words; Religion
February 21, 2012; New York Times; 1301 words; U.S. Miscellaneous
April 27, 2012; New York Times; 1303 words; Additional Domestic Affairs
April 17, 2012; Los Angeles Times; 1303 words; Health/Medicine
March 21, 2012; Wall Street Journal; 1304 words; Foreign (non-U.S.)
February 13, 2012; New York Times; 1305 words; Health/Medicine
March 22, 2012; Washington Post; 1307 words; Sports
February 8, 2012; Wall Street Journal; 1308 words; Foreign (non-U.S.)
February 3, 2012; Los Angeles Times; 1309 words; Foreign (non-U.S.)
February 13, 2012; Los Angeles Times; 1310 words; Foreign (non-U.S.)
February 23, 2012; Washington Post; 1311 words; Crime
April 23, 2012; New York Times; 1312 words; U.S. Foreign Affairs
April 13, 2012; Washington Post; 1312 words; Education
January 16, 2012; New York Times; 1313 words; Foreign (non-U.S.)
March 6, 2012; New York Times; 1314 words; Health/Medicine
May 20, 2012; New York Times; 1314 words; U.S. Foreign Affairs
January 24, 2012; New York Times; 1316 words; Science and Technology
May 1, 2012; Los Angeles Times; 1316 words; Lifestyle
February 15, 2012; New York Times; 1317 words; Education
March 23, 2012; Wall Street Journal; 1317 words; Foreign (non-U.S.)
January 16, 2012; Denver Post; 1317 words; Additional Domestic Affairs
May 23, 2012; New York Times; 1318 words; Crime
February 13, 2012; Los Angeles Times; 1319 words; Lifestyle
April 29, 2012; Los Angeles Times; 1319 words; Defense/Military (Domestic)
January 30, 2012; New York Times; 1320 words; Economy/Economics
March 8, 2012; New York Times; 1320 words; Campaigns/Elections/Politics
March 9, 2012; USA Today; 1320 words; Foreign (non-U.S.)
March 8, 2012; Washington Post; 1321 words; U.S. Foreign Affairs
February 21, 2012; Los Angeles Times; 1321 words; Business
February 13, 2012; New York Times; 1322 words; Campaigns/Elections/Politics
May 31, 2012; New York Times; 1324 words; Foreign (non-U.S.)
March 26, 2012; Denver Post; 1326 words; Health/Medicine
April 25, 2012; New York Times; 1327 words; Foreign (non-U.S.)
April 5, 2012; Washington Post; 1327 words; Foreign (non-U.S.)
January 11, 2012; Eagle Tribune (MA); 1327 words; Campaigns/Elections/Politics
February 29, 2012; New York Times; 1328 words; Foreign (non-U.S.)
February 1, 2012; New York Times; 1329 words; Campaigns/Elections/Politics
January 24, 2012; Washington Post; 1329 words; Campaigns/Elections/Politics
March 4, 2012; Los Angeles Times; 1330 words; Environment
January 19, 2012; Daily Herald (Everett, WA); 1330 words; Disasters/Accidents
April 15, 2012; Daily Herald (Everett, WA); 1330 words; Economy/Economics
February 27, 2012; New York Times; 1332 words; U.S. Foreign Affairs
January 16, 2012; Washington Post; 1334 words; Education
January 25, 2012; Wall Street Journal; 1334 words; Campaigns/Elections/Politics
January 16, 2012; Los Angeles Times; 1334 words; Government Agencies/Legislatures
April 13, 2012; Los Angeles Times; 1334 words; Business
January 30, 2012; New York Times; 1335 words; U.S. Foreign Affairs
March 22, 2012; New York Times; 1335 words; Sports
April 5, 2012; New York Times; 1335 words; Economy/Economics
April 17, 2012; New York Times; 1335 words; U.S. Foreign Affairs
February 17, 2012; Washington Post; 1335 words; Foreign (non-U.S.)
January 12, 2012; Washington Post; 1336 words; Foreign (non-U.S.)
April 9, 2012; Washington Post; 1336 words; Sports
May 21, 2012; New York Times; 1337 words; U.S. Foreign Affairs
May 15, 2012; Los Angeles Times; 1338 words; Business
May 7, 2012; Los Angeles Times; 1340 words; Foreign (non-U.S.)
February 17, 2012; Los Angeles Times; 1342 words; U.S. Foreign Affairs
January 6, 2012; Washington Post; 1344 words; Defense/Military (Domestic)
January 2, 2012; Denver Post; 1344 words; Economy/Economics
January 15, 2012; Denver Post; 1345 words; Government Agencies/Legislatures
January 18, 2012; New York Times; 1347 words; Science and Technology
April 19, 2012; Washington Post; 1347 words; Foreign (non-U.S.)
April 3, 2012; Washington Post; 1350 words; Foreign (non-U.S.)
February 9, 2012; Denver Post; 1350 words; Health/Medicine
May 22, 2012; USA Today; 1351 words; Additional Domestic Affairs
April 13, 2012; New York Times; 1352 words; Foreign (non-U.S.)
May 2, 2012; Houston Chronicle; 1353 words; U.S. Foreign Affairs
January 4, 2012; Washington Post; 1355 words; U.S. Foreign Affairs
April 23, 2012; Washington Post; 1355 words; Campaigns/Elections/Politics
March 8, 2012; Los Angeles Times; 1357 words; Foreign (non-U.S.)
April 11, 2012; New York Times; 1358 words; Lifestyle
April 19, 2012; Washington Post; 1358 words; U.S. Miscellaneous
March 20, 2012; New York Times; 1359 words; Foreign (non-U.S.)
February 1, 2012; Washington Post; 1360 words; Foreign (non-U.S.)
January 10, 2012; Los Angeles Times; 1361 words; U.S. Foreign Affairs
January 15, 2012; New York Times; 1363 words; Foreign (non-U.S.)
May 14, 2012; Traverse City Record; 1364 words; Economy/Economics
February 3, 2012; Washington Post; 1365 words; Additional Domestic Affairs
May 27, 2012; Los Angeles Times; 1365 words; Health/Medicine
April 23, 2012; Washington Post; 1366 words; Education
April 3, 2012; New York Times; 1367 words; Foreign (non-U.S.)
April 25, 2012; New York Times; 1369 words; Race/Gender/Gay Issues
January 4, 2012; New York Times; 1371 words; U.S. Foreign Affairs
February 23, 2012; Los Angeles Times; 1372 words; Business
May 11, 2012; New York Times; 1374 words; Campaigns/Elections/Politics
February 15, 2012; New York Times; 1376 words; Crime
April 25, 2012; New York Times; 1376 words; Health/Medicine
March 19, 2012; Wall Street Journal; 1376 words; Economy/Economics
May 21, 2012; New York Times; 1377 words; Crime
March 5, 2012; Wall Street Journal; 1377 words; Foreign (non-U.S.)
May 21, 2012; Los Angeles Times; 1377 words; U.S. Foreign Affairs
April 5, 2012; Los Angeles Times; 1378 words; Foreign (non-U.S.)
January 4, 2012; New York Times; 1379 words; Campaigns/Elections/Politics
May 25, 2012; New York Times; 1379 words; Lifestyle
March 6, 2012; Los Angeles Times; 1380 words; Foreign (non-U.S.)
February 17, 2012; Washington Post; 1381 words; Additional Domestic Affairs
April 12, 2012; Wall Street Journal; 1382 words; Foreign (non-U.S.)
May 3, 2012; Los Angeles Times; 1384 words; Foreign (non-U.S.)
March 16, 2012; New York Times; 1387 words; Campaigns/Elections/Politics
May 25, 2012; New York Times; 1387 words; Foreign (non-U.S.)
April 17, 2012; Washington Post; 1388 words; U.S. Foreign Affairs
May 14, 2012; Wall Street Journal; 1388 words; Business
February 1, 2012; New York Times; 1389 words; Business
April 12, 2012; Wall Street Journal; 1389 words; Business
March 28, 2012; Washington Post; 1390 words; Campaigns/Elections/Politics
April 26, 2012; Wall Street Journal; 1390 words; U.S. Foreign Affairs
April 23, 2012; New York Times; 1391 words; Immigration
January 30, 2012; Los Angeles Times; 1391 words; Education
February 9, 2012; New York Times; 1392 words; Education
April 9, 2012; New York Times; 1394 words; U.S. Foreign Affairs
March 8, 2012; New York Times; 1395 words; Health/Medicine
February 12, 2012; Denver Post; 1395 words; Government Agencies/Legislatures
March 20, 2012; New York Times; 1396 words; Foreign (non-U.S.)
April 23, 2012; Los Angeles Times; 1397 words; U.S. Foreign Affairs
March 28, 2012; New York Times; 1398 words; Campaigns/Elections/Politics
May 29, 2012; New York Times; 1398 words; Health/Medicine
March 21, 2012; Wall Street Journal; 1398 words; Campaigns/Elections/Politics
March 4, 2012; Daily Herald (Everett, WA); 1399 words; Campaigns/Elections/Politics
March 30, 2012; Washington Post; 1400 words; Government Agencies/Legislatures
May 13, 2012; Los Angeles Times; 1400 words; Economy/Economics
March 20, 2012; New York Times; 1402 words; Business
March 8, 2012; Los Angeles Times; 1402 words; Transportation
January 18, 2012; New York Times; 1403 words; Foreign (non-U.S.)
January 16, 2012; Washington Post; 1404 words; Transportation
January 6, 2012; New York Times; 1406 words; Campaigns/Elections/Politics
March 1, 2012; Wall Street Journal; 1406 words; U.S. Foreign Affairs
April 3, 2012; New York Times; 1407 words; Sports
January 24, 2012; Washington Post; 1407 words; Health/Medicine
February 2, 2012; Wall Street Journal; 1407 words; Foreign (non-U.S.)
May 11, 2012; New York Times; 1408 words; Foreign (non-U.S.)
April 11, 2012; Washington Post; 1408 words; Transportation
April 19, 2012; Washington Post; 1409 words; U.S. Foreign Affairs
January 2, 2012; Los Angeles Times; 1410 words; Education
February 27, 2012; New York Times; 1411 words; Science and Technology
April 29, 2012; Traverse City Record; 1411 words; U.S. Foreign Affairs
May 20, 2012; New York Times; 1412 words; Business
February 1, 2012; New York Times; 1415 words; U.S. Foreign Affairs
January 10, 2012; New York Times; 1417 words; U.S. Foreign Affairs
January 30, 2012; Washington Post; 1417 words; Government Agencies/Legislatures
March 2, 2012; New York Times; 1419 words; Foreign (non-U.S.)
January 25, 2012; USA Today; 1419 words; Campaigns/Elections/Politics
March 18, 2012; Houston Chronicle; 1419 words; Business
April 5, 2012; Washington Post; 1421 words; Foreign (non-U.S.)
March 1, 2012; USA Today; 1421 words; Crime
January 16, 2012; New York Times; 1422 words; U.S. Foreign Affairs
April 24, 2012; Wall Street Journal; 1422 words; Foreign (non-U.S.)
February 24, 2012; Wall Street Journal; 1423 words; Foreign (non-U.S.)
April 15, 2012; Daily Herald (Everett, WA); 1423 words; U.S. Miscellaneous
January 8, 2012; Washington Post; 1425 words; Campaigns/Elections/Politics
January 22, 2012; Houston Chronicle; 1425 words; Campaigns/Elections/Politics
April 13, 2012; New York Times; 1426 words; U.S. Foreign Affairs
March 4, 2012; Los Angeles Times; 1426 words; Campaigns/Elections/Politics
April 27, 2012; New York Times; 1429 words; Foreign (non-U.S.)
May 10, 2012; USA Today; 1429 words; Campaigns/Elections/Politics
February 17, 2012; New York Times; 1430 words; Health/Medicine
January 2, 2012; New York Times; 1431 words; U.S. Foreign Affairs
February 26, 2012; New York Times; 1431 words; U.S. Foreign Affairs
March 6, 2012; New York Times; 1431 words; Health/Medicine
May 29, 2012; Los Angeles Times; 1440 words; Government Agencies/Legislatures
February 7, 2012; New York Times; 1441 words; U.S. Foreign Affairs
February 21, 2012; New York Times; 1442 words; Health/Medicine
January 24, 2012; Denver Post; 1443 words; Education
May 9, 2012; New York Times; 1446 words; Foreign (non-U.S.)
April 13, 2012; Washington Post; 1446 words; U.S. Miscellaneous
May 24, 2012; Wall Street Journal; 1449 words; Foreign (non-U.S.)
February 12, 2012; Denver Post; 1449 words; U.S. Miscellaneous
